id,created_at,kind,case_type,severity,status,pickup_zone_id,pickup_name,pickup_ref,pickup_lat,pickup_lng,hospital_id,assigned_vehicle_id,assigned_driver_id,distance_km,eta_to_pickup_min,eta_min,patients_count,event_tag,source,synthetic
SIM-001534,2024-01-06T09:56:12.853Z,medical,General,Urgent,COMPLETED,zone-kadma,Tatanagar Railway Station,loc-station,22.7846,86.1842,hosp-steel-township-physiotherapy-c,sim-veh-kadma-amb-5,sim-drv-kadma-5,2.66,3.6,5.6,1,,SIM_SEED,True
SIM-006519,2023-05-05T17:49:34.888Z,medical,Maternity,Normal,COMPLETED,zone-sakchi,Sakchi Market,loc-sakchimkt,22.8021,86.2025,hosp-township-maternity-clinic,sim-veh-sakchi-amb-3,sim-drv-sakchi-3,3.04,9.7,4.3,1,,SIM_SEED,True
SIM-004338,2022-07-23T05:17:42.832Z,fire,,Normal,COMPLETED,zone-kadma,Iron Valley Student Residence,loc-iron-valley-student-residence,22.7936,86.1737,,sim-veh-kadma-fire-4,sim-drv-kadma-4,0.97,1.6,1.6,1,,SIM_SEED,True
SIM-010063,2023-07-18T07:14:31.068Z,medical,Trauma,Normal,COMPLETED,zone-factory,Burma Mines,loc-burma,22.7684,86.2046,hosp-sakchi-community-hospital,sim-veh-factory-amb-1,sim-drv-factory-1,4.79,14.8,12.2,1,,SIM_SEED,True
SIM-010480,2023-12-22T08:41:13.947Z,fire,,Normal,COMPLETED,zone-bistupur,Bistupur Quarters,loc-bistupur,22.798,86.1814,,sim-veh-bistupur-fire-1,sim-drv-bistupur-1,4.21,9.7,4.5,1,,SIM_SEED,True
SIM-006849,2025-07-16T02:11:38.509Z,medical,Trauma,Urgent,COMPLETED,zone-sakchi,DBMS College,loc-dbms,22.8046,86.2058,hosp-subarnarekha-super-speciality-,sim-veh-sakchi-amb-5,sim-drv-sakchi-5,4.04,9.4,5.9,1,,SIM_SEED,True
SIM-001724,2024-05-31T18:35:52.944Z,medical,Trauma,Normal,COMPLETED,zone-bistupur,Jubilee Grand Marriage Hall,loc-jubilee-grand-marriage-hall,22.7982,86.1898,hosp-tata-steel-advanced-multi-spec,sim-veh-bistupur-amb-5,sim-drv-bistupur-5,2.92,3.7,5.4,1,,SIM_SEED,True
SIM-007535,2025-10-21T13:49:36.657Z,medical,General,Critical,COMPLETED,zone-kadma,Kadma Market,loc-kadmamkt,22.7872,86.1628,hosp-tata-steel-advanced-multi-spec,sim-veh-kadma-amb-1,sim-drv-kadma-1,3.33,8.9,7.2,1,DIWALI_FIRE_SEASON,SIM_SEED,True
SIM-010137,2026-06-08T21:37:39.403Z,fire,,Normal,COMPLETED,zone-sakchi,Sakchi Quarters,loc-sakchi,22.798,86.1972,,sim-veh-sakchi-fire-2,sim-drv-sakchi-2,5.4,13,7.2,1,,SIM_SEED,True
SIM-002115,2026-06-13T08:38:57.413Z,medical,Cardiac,Urgent,COMPLETED,zone-sonari,Sonari Quarters,loc-sonari,22.786,86.164,hosp-subarnarekha-super-speciality-,sim-veh-sonari-amb-1,sim-drv-sonari-1,1.78,0.8,3,1,,SIM_SEED,True
SIM-004929,2024-01-11T09:45:16.454Z,fire,,Normal,COMPLETED,zone-sakchi,Blue Wave Aquatic Sports Complex,loc-blue-wave-aquatic-sports-compl,22.8075,86.2039,,sim-veh-sakchi-fire-5,sim-drv-sakchi-5,1.28,2.3,2.3,1,,SIM_SEED,True
SIM-010585,2024-02-18T02:51:32.212Z,blood,,Normal,COMPLETED,zone-bistupur,Jubilee Park Hub,loc-jubilee,22.8065,86.1925,,sim-veh-bistupur-amb-3,sim-drv-bistupur-3,5.22,11.5,8.8,1,,SIM_SEED,True
SIM-002414,2021-07-31T03:17:57.739Z,medical,Pediatric,Urgent,COMPLETED,zone-kadma,Kadma Market,loc-kadmamkt,22.7951,86.1722,hosp-subarnarekha-super-speciality-,sim-veh-kadma-amb-5,sim-drv-kadma-5,1.68,3.1,3.6,1,,SIM_SEED,True
SIM-001261,2024-11-14T16:16:10.430Z,medical,General,Urgent,COMPLETED,zone-sonari,Sonari Quarters,loc-sonari,22.786,86.164,hosp-subarnarekha-skin-and-wellness,sim-veh-sonari-amb-2,sim-drv-sonari-2,2.66,4.1,4.4,1,,SIM_SEED,True
SIM-009279,2025-04-22T18:58:25.481Z,medical,General,Urgent,COMPLETED,zone-sakchi,DBMS College,loc-dbms,22.8114,86.2147,hosp-subarnarekha-super-speciality-,sim-veh-sakchi-amb-5,sim-drv-sakchi-5,5.4,14.3,12.1,1,,SIM_SEED,True
SIM-003828,2023-07-30T18:33:31.259Z,medical,Pediatric,Critical,COMPLETED,zone-sonari,Sonari Quarters,loc-sonari,22.786,86.164,hosp-iron-valley-children-s-clinic,sim-veh-sonari-amb-4,sim-drv-sonari-4,1.73,2.7,3.5,1,,SIM_SEED,True
SIM-004506,2026-05-22T07:40:31.112Z,medical,Maternity,Urgent,COMPLETED,zone-bistupur,Tata Main Hospital,loc-tmh,22.7868,86.1958,hosp-jubilee-care-hospital,sim-veh-bistupur-amb-2,sim-drv-bistupur-2,3.79,4.6,7.3,1,,SIM_SEED,True
SIM-009266,2024-12-21T17:03:44.422Z,fire,,Critical,COMPLETED,zone-sakchi,DBMS College,loc-dbms,22.8051,86.2064,,sim-veh-sakchi-fire-4,sim-drv-sakchi-4,3.85,12.6,11.1,1,,SIM_SEED,True
SIM-008995,2025-03-28T18:17:24.588Z,medical,General,Urgent,COMPLETED,zone-sakchi,Sakchi Quarters,loc-sakchi,22.8036,86.2045,hosp-steel-city-general-hospital,sim-veh-sakchi-amb-4,sim-drv-sakchi-4,4.88,15.8,9.6,1,,SIM_SEED,True
SIM-001336,2025-03-20T18:39:15.633Z,medical,General,Urgent,COMPLETED,zone-bistupur,JRD Tata Memorial Hostel,loc-jrd-tata-memorial-hostel,22.7994,86.1886,hosp-jubilee-care-hospital,sim-veh-bistupur-amb-2,sim-drv-bistupur-2,0.74,1,1.3,1,,SIM_SEED,True
SIM-000578,2024-06-07T09:40:51.614Z,medical,Trauma,Urgent,COMPLETED,zone-sakchi,Blue Wave Aquatic Sports Complex,loc-blue-wave-aquatic-sports-compl,22.8075,86.2039,hosp-sakchi-community-hospital,sim-veh-sakchi-amb-4,sim-drv-sakchi-4,2.71,3.3,5.5,1,MONSOON_ROAD_TRAUMA,SIM_SEED,True
SIM-007665,2026-01-09T16:10:18.280Z,medical,Pediatric,Urgent,COMPLETED,zone-sakchi,Sakchi Heritage Quarters,loc-sakchi-heritage-quarters,22.8033,86.2042,hosp-subarnarekha-super-speciality-,sim-veh-sakchi-amb-4,sim-drv-sakchi-4,4.87,9.6,6.4,1,,SIM_SEED,True
SIM-005749,2024-07-24T00:49:16.960Z,medical,Cardiac,Normal,COMPLETED,zone-kadma,Mill Workers Welfare Colony,loc-mill-workers-welfare-colony,22.7861,86.1614,hosp-tata-steel-advanced-multi-spec,sim-veh-kadma-amb-2,sim-drv-kadma-2,4.28,7.5,5.8,1,,SIM_SEED,True
SIM-010042,2023-03-09T15:08:38.606Z,medical,General,Normal,COMPLETED,zone-kadma,Annapurna Community Mess,loc-annapurna-community-mess,22.7936,86.1711,hosp-subarnarekha-super-speciality-,sim-veh-kadma-amb-1,sim-drv-kadma-1,0.4,0.9,0.8,1,,SIM_SEED,True
SIM-001964,2026-04-16T14:01:27.342Z,medical,General,Normal,COMPLETED,zone-sakchi,DBMS College,loc-dbms,22.8061,86.2055,hosp-millennium-women-s-care-clinic,sim-veh-sakchi-amb-5,sim-drv-sakchi-5,1.33,2.3,2.8,1,,SIM_SEED,True
SIM-002094,2024-01-11T09:45:16.454Z,fire,,Normal,COMPLETED,zone-sakchi,Blue Wave Aquatic Sports Complex,loc-blue-wave-aquatic-sports-compl,22.8075,86.2039,,sim-veh-sakchi-fire-5,sim-drv-sakchi-5,1.28,2.3,2.3,1,,SIM_SEED,True
SIM-007451,2023-10-28T18:46:42.209Z,blood,,Urgent,COMPLETED,zone-sonari,Sonari Quarters,loc-sonari,22.7811,86.1576,,sim-veh-sonari-amb-3,sim-drv-sonari-3,3.35,7.9,5.5,1,DIWALI_FIRE_SEASON,SIM_SEED,True
SIM-001132,2021-12-08T07:59:56.023Z,medical,Maternity,Normal,COMPLETED,zone-bistupur,Tata Main Hospital,loc-tmh,22.7868,86.1958,hosp-jubilee-care-hospital,sim-veh-bistupur-amb-3,sim-drv-bistupur-3,3.8,4.6,7.3,1,,SIM_SEED,True
SIM-005992,2024-04-15T12:36:23.861Z,fire,,Normal,COMPLETED,zone-kadma,Mill Workers Welfare Colony,loc-mill-workers-welfare-colony,22.7915,86.1684,,sim-veh-kadma-fire-2,sim-drv-kadma-2,2.4,6.4,5.7,1,,SIM_SEED,True
SIM-009756,2025-02-06T04:57:09.687Z,medical,General,Urgent,COMPLETED,zone-bistupur,Tata Steel Gymkhana,loc-gymkhana,22.8026,86.1874,hosp-sakchi-community-hospital,sim-veh-bistupur-amb-2,sim-drv-bistupur-2,2.94,6.1,3.9,1,,SIM_SEED,True
SIM-002815,2026-03-14T15:43:16.855Z,medical,Pediatric,Normal,COMPLETED,zone-bistupur,Jamsetji Tata Scholars Residence,loc-jamsetji-tata-scholars-residen,22.7958,86.1802,hosp-subarnarekha-super-speciality-,sim-veh-bistupur-amb-1,sim-drv-bistupur-1,1.54,1.6,3,1,,SIM_SEED,True
SIM-004305,2026-01-02T09:07:44.025Z,medical,Trauma,Normal,COMPLETED,zone-factory,Central Workshop,loc-workshop,22.7665,86.2151,hosp-foundry-area-medical-centre,sim-veh-factory-amb-2,sim-drv-factory-2,3,4,5.7,1,,SIM_SEED,True
SIM-008002,2023-06-23T21:40:42.353Z,medical,Cardiac,Critical,COMPLETED,zone-bistupur,Keenan Stadium,loc-keenan,22.8061,86.192,hosp-tata-steel-advanced-multi-spec,sim-veh-bistupur-amb-2,sim-drv-bistupur-2,0.91,1.5,1.3,2,,SIM_SEED,True
SIM-003100,2025-11-03T14:49:29.857Z,medical,Pediatric,Critical,COMPLETED,zone-kadma,Millennium Eco Garden,loc-millennium-eco-garden,22.7972,86.1701,hosp-subarnarekha-super-speciality-,sim-veh-kadma-amb-1,sim-drv-kadma-1,2.37,3.5,4.5,1,,SIM_SEED,True
SIM-000390,2023-01-25T14:58:26.357Z,medical,Trauma,Normal,COMPLETED,zone-sakchi,Steel City Family Bistro,loc-steel-city-family-bistro,22.8087,86.2027,hosp-sakchi-community-hospital,sim-veh-sakchi-amb-1,sim-drv-sakchi-1,2.14,1.4,3.5,1,,SIM_SEED,True
SIM-002847,2024-02-17T22:58:13.636Z,medical,General,Urgent,CANCELLED,zone-sakchi,Mango Bus Stand,loc-mango,22.8331,86.2081,hosp-millennium-women-s-care-clinic,sim-veh-sakchi-amb-3,sim-drv-sakchi-3,6.09,5.5,10.4,4,,SIM_SEED,True
SIM-003685,2025-05-20T20:45:19.949Z,medical,Trauma,Critical,COMPLETED,zone-factory,Blue Furnace Township Residency,loc-blue-furnace-township-residenc,22.7764,86.2038,hosp-steel-city-general-hospital,sim-veh-factory-amb-6,sim-drv-factory-6,2.1,4,4.4,1,,SIM_SEED,True
SIM-005519,2024-10-07T05:40:07.767Z,medical,Cardiac,Urgent,COMPLETED,zone-sakchi,Sakchi Quarters,loc-sakchi,22.7988,86.1982,hosp-subarnarekha-super-speciality-,sim-veh-sakchi-amb-4,sim-drv-sakchi-4,4.06,6.5,5.8,1,,SIM_SEED,True
SIM-005954,2024-01-02T10:12:19.399Z,medical,Pediatric,Urgent,COMPLETED,zone-factory,Burma Mines,loc-burma,22.7737,86.2116,hosp-iron-valley-children-s-clinic,sim-veh-factory-amb-5,sim-drv-factory-5,5.35,10.6,5.6,1,NEW_YEAR_EVE,SIM_SEED,True
SIM-005431,2022-09-04T07:12:42.221Z,fire,,Critical,COMPLETED,zone-factory,Steel City Meat and Poultry Market,loc-steel-city-meat-and-poultry-ma,22.768,86.2122,,sim-veh-factory-fire-2,sim-drv-factory-2,1.67,3.3,3.3,1,INDUSTRIAL_FIRE_RISK,SIM_SEED,True
SIM-007870,2024-03-31T09:22:57.030Z,medical,General,Normal,CANCELLED,zone-factory,Factory Main Gate,loc-gate,22.7745,86.2125,hosp-iron-valley-children-s-clinic,sim-veh-factory-amb-2,sim-drv-factory-2,5.23,14.5,5.9,1,,SIM_SEED,True
SIM-005877,2024-05-06T15:27:18.099Z,fire,,Normal,COMPLETED,zone-sonari,Sonari Aerodrome,loc-aerodrome,22.7883,86.167,,sim-veh-sonari-fire-6,sim-drv-sonari-6,5.2,9.1,7.8,1,,SIM_SEED,True
SIM-003019,2024-10-21T17:27:34.278Z,medical,Maternity,Normal,COMPLETED,zone-bistupur,Tata Main Hospital,loc-tmh,22.7868,86.1958,hosp-jubilee-care-hospital,sim-veh-bistupur-amb-5,sim-drv-bistupur-5,3.97,4.1,6.4,1,,SIM_SEED,True
SIM-006845,2024-07-10T07:26:44.372Z,medical,Trauma,Critical,COMPLETED,zone-factory,Burma Mines,loc-burma,22.7707,86.2077,hosp-tata-steel-advanced-multi-spec,sim-veh-factory-amb-1,sim-drv-factory-1,5.05,16.3,14.6,1,,SIM_SEED,True
SIM-006605,2025-04-07T15:15:34.049Z,medical,Respiratory,Urgent,COMPLETED,zone-sakchi,Sakchi Market,loc-sakchimkt,22.7959,86.1945,hosp-foundry-area-medical-centre,sim-veh-sakchi-amb-2,sim-drv-sakchi-2,3.88,7.6,3.7,1,,SIM_SEED,True
SIM-005176,2024-03-01T11:36:51.559Z,medical,General,Normal,COMPLETED,zone-sonari,Subarnarekha Thermal Power Complex,loc-subarnarekha-thermal-power-com,22.7806,86.1586,hosp-subarnarekha-skin-and-wellness,sim-veh-sonari-amb-2,sim-drv-sonari-2,5.03,6.8,8.3,1,,SIM_SEED,True
SIM-009691,2025-08-29T20:04:28.464Z,medical,Trauma,Critical,COMPLETED,zone-sonari,Subarnarekha Riverside Quarters,loc-subarnarekha-riverside-quarters,22.7935,86.1737,hosp-tata-steel-advanced-multi-spec,sim-veh-sonari-amb-3,sim-drv-sonari-3,2.69,5.5,4.7,1,,SIM_SEED,True
SIM-000914,2024-09-07T21:42:41.145Z,medical,General,Normal,COMPLETED,zone-sakchi,Loyola Campus School,loc-school,22.7991,86.1972,hosp-jubilee-care-hospital,sim-veh-sakchi-amb-5,sim-drv-sakchi-5,3.04,3.6,4.8,1,,SIM_SEED,True
SIM-002835,2023-06-29T09:58:10.097Z,blood,,Urgent,COMPLETED,zone-bistupur,JRD Tata Cultural Auditorium,loc-jrd-tata-cultural-auditorium,22.7958,86.1802,hosp-subarnarekha-super-speciality-,sim-veh-bistupur-amb-1,sim-drv-bistupur-1,2.21,2.6,3.8,1,,SIM_SEED,True
SIM-000206,2023-11-21T19:57:26.851Z,fire,,Critical,COMPLETED,zone-factory,Steel View Residential Colony,loc-steel-view-residential-colony,22.7752,86.205,,sim-veh-factory-fire-3,sim-drv-factory-3,2.03,4.2,4.2,1,INDUSTRIAL_FIRE_RISK,SIM_SEED,True
SIM-007876,2026-06-15T07:13:52.493Z,fire,,Normal,COMPLETED,zone-factory,Burma Mines,loc-burma,22.7704,86.2073,,sim-veh-factory-fire-5,sim-drv-factory-5,4.7,14.8,9.9,1,,SIM_SEED,True
SIM-000241,2023-08-29T05:36:11.074Z,medical,Trauma,Normal,COMPLETED,zone-sonari,NIT Jamshedpur,loc-nit,22.7771,86.1449,hosp-subarnarekha-super-speciality-,sim-veh-sonari-amb-2,sim-drv-sonari-2,8.7,9.3,15.5,1,MONSOON_ROAD_TRAUMA,SIM_SEED,True
SIM-006002,2025-09-08T18:42:49.240Z,fire,,Urgent,COMPLETED,zone-kadma,Annapurna Community Mess,loc-annapurna-community-mess,22.8028,86.1831,,sim-veh-kadma-fire-2,sim-drv-kadma-2,1.15,2.5,1.4,1,,SIM_SEED,True
SIM-003871,2026-05-07T06:55:17.310Z,medical,Cardiac,Normal,COMPLETED,zone-sonari,Telco Colony,loc-telco,22.7847,86.1301,hosp-subarnarekha-super-speciality-,sim-veh-sonari-amb-2,sim-drv-sonari-2,12.54,13,20.5,1,,SIM_SEED,True
SIM-009072,2024-06-17T19:56:29.108Z,medical,Trauma,Urgent,COMPLETED,zone-sonari,Sonari Aerodrome,loc-aerodrome,22.7835,86.1607,hosp-subarnarekha-super-speciality-,sim-veh-sonari-amb-5,sim-drv-sonari-5,1.79,3.1,1.5,1,,SIM_SEED,True
SIM-007385,2023-06-15T17:58:22.872Z,fire,,Urgent,COMPLETED,zone-factory,Blue Furnace Township Residency,loc-blue-furnace-township-residency,22.7624,86.1969,,sim-veh-factory-fire-1,sim-drv-factory-1,0.65,1.1,0.6,1,,SIM_SEED,True
SIM-003530,2023-10-01T09:03:53.691Z,medical,Cardiac,Critical,COMPLETED,zone-sonari,Subarnarekha Thermal Power Complex,loc-subarnarekha-thermal-power-com,22.7806,86.1586,hosp-subarnarekha-super-speciality-,sim-veh-sonari-amb-1,sim-drv-sonari-1,4.7,4.1,7.5,1,,SIM_SEED,True
SIM-002329,2021-08-22T05:44:28.869Z,medical,Cardiac,Urgent,COMPLETED,zone-sonari,Subarnarekha Riverfront Park,loc-subarnarekha-riverfront-park,22.7806,86.1586,hosp-subarnarekha-super-speciality-,sim-veh-sonari-amb-5,sim-drv-sonari-5,4.13,3.2,6.6,1,,SIM_SEED,True
SIM-003722,2025-03-07T11:21:54.739Z,medical,Pediatric,Normal,COMPLETED,zone-factory,Foundry Workers Enclave,loc-foundry-workers-enclave,22.7716,86.2086,hosp-sakchi-community-hospital,sim-veh-factory-amb-3,sim-drv-factory-3,4.4,2.3,8.4,1,,SIM_SEED,True
SIM-004709,2025-03-28T20:18:59.295Z,medical,General,Critical,COMPLETED,zone-sonari,XLRI Jamshedpur,loc-xlri,22.7783,86.1442,hosp-jrd-family-health-clinic,sim-veh-sonari-amb-5,sim-drv-sonari-5,9.34,15.2,19.8,1,,SIM_SEED,True
SIM-003827,2022-07-08T20:18:48.029Z,medical,Cardiac,Urgent,COMPLETED,zone-bistupur,Beldih Club (Banquet),loc-beldih,22.8016,86.1902,hosp-tata-steel-advanced-multi-spec,sim-veh-bistupur-amb-3,sim-drv-bistupur-3,1.61,1.4,2.5,1,,SIM_SEED,True
SIM-000599,2024-10-29T15:24:58.920Z,medical,Cardiac,Normal,COMPLETED,zone-bistupur,Bistupur Quarters,loc-bistupur,22.8012,86.1856,hosp-tata-steel-advanced-multi-spec,sim-veh-bistupur-amb-5,sim-drv-bistupur-5,0.54,0.3,0.9,2,DIWALI_FIRE_SEASON,SIM_SEED,True
SIM-005760,2023-06-05T22:04:23.152Z,fire,,Normal,COMPLETED,zone-kadma,Mill Workers Welfare Colony,loc-mill-workers-welfare-colony,22.8008,86.1805,,sim-veh-kadma-fire-6,sim-drv-kadma-6,2.29,4.7,2.9,1,,SIM_SEED,True
SIM-004068,2022-09-13T17:57:50.818Z,medical,General,Normal,CANCELLED,zone-bistupur,JRD Tata Memorial High School,loc-jrd-tata-memorial-high-school,22.797,86.191,hosp-jubilee-care-hospital,sim-veh-bistupur-amb-4,sim-drv-bistupur-4,1.15,1.7,2,1,,SIM_SEED,True
SIM-007814,2024-05-12T19:40:32.914Z,medical,Maternity,Urgent,COMPLETED,zone-kadma,Annapurna Community Mess,loc-annapurna-community-mess,22.7972,86.1758,hosp-millennium-women-s-care-clinic,sim-veh-kadma-amb-4,sim-drv-kadma-4,3.47,8.4,3.9,1,,SIM_SEED,True
SIM-006292,2024-02-02T20:23:57.201Z,medical,Trauma,Urgent,COMPLETED,zone-sakchi,DBMS College,loc-dbms,22.7997,86.1994,hosp-steel-city-general-hospital,sim-veh-sakchi-amb-1,sim-drv-sakchi-1,4.67,8.7,4.2,1,,SIM_SEED,True
SIM-000272,2024-08-24T22:00:04.456Z,medical,General,Normal,COMPLETED,zone-bistupur,Beldih Club (Banquet),loc-beldih,22.8016,86.1902,hosp-jubilee-care-hospital,sim-veh-bistupur-amb-3,sim-drv-bistupur-3,1.36,1.6,2.2,1,,SIM_SEED,True
SIM-002704,2025-03-17T13:34:33.902Z,medical,Cardiac,Critical,COMPLETED,zone-bistupur,Bistupur Quarters,loc-bistupur,22.8012,86.1856,hosp-tata-steel-advanced-multi-spec,sim-veh-bistupur-amb-5,sim-drv-bistupur-5,1.47,1.8,2.4,1,,SIM_SEED,True
SIM-009576,2025-05-26T22:34:48.107Z,medical,Pediatric,Normal,COMPLETED,zone-sonari,Sonari Aerodrome,loc-aerodrome,22.793,86.1731,hosp-subarnarekha-super-speciality-,sim-veh-sonari-amb-1,sim-drv-sonari-1,0.46,1.2,1,1,,SIM_SEED,True
SIM-001348,2026-01-06T15:42:09.694Z,medical,Maternity,Urgent,COMPLETED,zone-sonari,NIT Jamshedpur,loc-nit,22.7771,86.1449,hosp-subarnarekha-super-speciality-,sim-veh-sonari-amb-4,sim-drv-sonari-4,10.83,15.4,22.7,1,,SIM_SEED,True
SIM-009608,2026-06-08T21:37:39.403Z,fire,,Normal,COMPLETED,zone-sakchi,Sakchi Quarters,loc-sakchi,22.798,86.1972,,sim-veh-sakchi-fire-2,sim-drv-sakchi-2,5.4,13,7.2,1,,SIM_SEED,True
SIM-006445,2026-06-08T22:27:42.049Z,medical,Trauma,Normal,CANCELLED,zone-sonari,Sonari Quarters,loc-sonari,22.7924,86.1723,hosp-steel-city-general-hospital,sim-veh-sonari-amb-3,sim-drv-sonari-3,5.07,11.8,5.4,1,,SIM_SEED,True
SIM-005116,2022-06-11T10:39:41.080Z,medical,Maternity,Normal,COMPLETED,zone-sakchi,Sakchi Quarters,loc-sakchi,22.8045,86.2057,hosp-millennium-women-s-care-clinic,sim-veh-sakchi-amb-2,sim-drv-sakchi-2,0.89,0.9,1.6,1,,SIM_SEED,True
SIM-004104,2022-03-12T07:39:11.990Z,medical,General,Normal,COMPLETED,zone-sakchi,Blue Wave Aquatic Sports Complex,loc-blue-wave-aquatic-sports-compl,22.8075,86.2039,hosp-millennium-women-s-care-clinic,sim-veh-sakchi-amb-5,sim-drv-sakchi-5,0.91,1.5,1.5,2,,SIM_SEED,True
SIM-004455,2021-10-14T09:41:09.167Z,medical,General,Normal,COMPLETED,zone-sonari,JRD Tata Sports Complex,loc-jrd,22.7746,86.1496,hosp-subarnarekha-skin-and-wellness,sim-veh-sonari-amb-1,sim-drv-sonari-1,8.52,11.3,14.9,1,,SIM_SEED,True
SIM-008461,2023-05-29T09:02:41.114Z,medical,General,Urgent,COMPLETED,zone-bistupur,Tata Steel Gymkhana,loc-gymkhana,22.7936,86.1757,hosp-steel-city-general-hospital,sim-veh-bistupur-amb-2,sim-drv-bistupur-2,5.39,15,12.7,1,,SIM_SEED,True
SIM-005949,2023-05-10T15:36:35.528Z,medical,Maternity,Normal,COMPLETED,zone-sonari,Sonari Quarters,loc-sonari,22.7931,86.1732,hosp-millennium-women-s-care-clinic,sim-veh-sonari-amb-3,sim-drv-sonari-3,3.92,7.4,3.8,2,,SIM_SEED,True
SIM-008309,2024-03-31T00:23:29.416Z,medical,Cardiac,Critical,COMPLETED,zone-kadma,Kadma Quarters,loc-kadma,22.7883,86.1642,hosp-subarnarekha-super-speciality-,sim-veh-kadma-amb-2,sim-drv-kadma-2,1.86,4.1,3.4,1,,SIM_SEED,True
SIM-004271,2026-03-08T19:06:17.007Z,medical,Trauma,Normal,COMPLETED,zone-factory,Factory Main Gate,loc-gate,22.771,86.208,hosp-foundry-area-medical-centre,sim-veh-factory-amb-8,sim-drv-factory-8,0.89,1.4,1.6,1,,SIM_SEED,True
SIM-005591,2025-02-19T10:14:46.876Z,medical,Trauma,Critical,COMPLETED,zone-factory,Blue Furnace Township Residency,loc-blue-furnace-township-residency,22.7757,86.214,hosp-sakchi-community-hospital,sim-veh-factory-amb-2,sim-drv-factory-2,3.69,6.6,4,1,,SIM_SEED,True
SIM-007930,2023-07-01T19:09:16.519Z,medical,Trauma,Urgent,COMPLETED,zone-sakchi,Sakchi Heritage Quarters,loc-sakchi-heritage-quarters,22.8026,86.2032,hosp-sakchi-community-hospital,sim-veh-sakchi-amb-5,sim-drv-sakchi-5,1.13,3.4,2.9,1,,SIM_SEED,True
SIM-000910,2025-11-03T17:13:31.774Z,medical,Trauma,Critical,COMPLETED,zone-sonari,Sonari Quarters,loc-sonari,22.786,86.164,hosp-subarnarekha-super-speciality-,sim-veh-sonari-amb-1,sim-drv-sonari-1,2.21,1.7,4.2,1,,SIM_SEED,True
SIM-005931,2023-09-24T19:30:43.358Z,fire,,Urgent,COMPLETED,zone-kadma,Kadma Market,loc-kadmamkt,22.7901,86.1666,,sim-veh-kadma-fire-1,sim-drv-kadma-1,3.8,8.8,7.8,1,,SIM_SEED,True
SIM-000315,2022-08-29T22:39:51.754Z,fire,,Urgent,COMPLETED,zone-kadma,Iron Valley Student Residence,loc-iron-valley-student-residence,22.7936,86.1737,,sim-veh-kadma-fire-1,sim-drv-kadma-1,1.59,3.1,3.1,1,,SIM_SEED,True
SIM-008183,2025-10-16T18:12:36.244Z,medical,Maternity,Normal,COMPLETED,zone-sakchi,DBMS College,loc-dbms,22.8054,86.2069,hosp-township-maternity-clinic,sim-veh-sakchi-amb-3,sim-drv-sakchi-3,3.32,6.9,5.2,1,,SIM_SEED,True
SIM-001142,2022-02-13T09:54:45.504Z,medical,General,Urgent,COMPLETED,zone-sakchi,Golmuri Circle,loc-golmuri,22.8001,86.2201,hosp-sakchi-community-hospital,sim-veh-sakchi-amb-3,sim-drv-sakchi-3,3.83,4.6,6.7,1,COVID_OMICRON_WAVE_2022,SIM_SEED,True
SIM-008049,2024-08-24T04:00:01.733Z,fire,,Normal,COMPLETED,zone-kadma,Mill Workers Welfare Colony,loc-mill-workers-welfare-colony,22.7853,86.1603,,sim-veh-kadma-fire-3,sim-drv-kadma-3,4.35,9.4,7.2,1,,SIM_SEED,True
SIM-003635,2022-06-09T20:36:29.286Z,medical,General,Normal,COMPLETED,zone-bistupur,Jubilee Green Gardens,loc-jubilee-green-gardens,22.7994,86.1886,hosp-jubilee-care-hospital,sim-veh-bistupur-amb-1,sim-drv-bistupur-1,1.11,1.7,2,1,,SIM_SEED,True
SIM-007455,2023-11-17T19:01:00.988Z,fire,,Normal,COMPLETED,zone-sakchi,DBMS College,loc-dbms,22.8026,86.2033,,sim-veh-sakchi-fire-1,sim-drv-sakchi-1,1.24,3.3,1.8,1,,SIM_SEED,True
SIM-003520,2022-02-24T15:43:42.020Z,medical,Maternity,Normal,COMPLETED,zone-sonari,Sonari Quarters,loc-sonari,22.786,86.164,hosp-subarnarekha-super-speciality-,sim-veh-sonari-amb-1,sim-drv-sonari-1,2.29,1.9,4.3,1,,SIM_SEED,True
SIM-006488,2025-10-29T21:28:06.177Z,blood,,Urgent,COMPLETED,zone-sonari,Sonari Quarters,loc-sonari,22.7884,86.1671,,sim-veh-sonari-amb-2,sim-drv-sonari-2,5.58,14.6,11.4,1,DIWALI_FIRE_SEASON,SIM_SEED,True
SIM-006726,2023-04-03T09:40:51.349Z,medical,Cardiac,Urgent,COMPLETED,zone-bistupur,Bistupur Quarters,loc-bistupur,22.7994,86.1832,hosp-subarnarekha-super-speciality-,sim-veh-bistupur-amb-1,sim-drv-bistupur-1,2.56,6.6,5.7,1,,SIM_SEED,True
SIM-002503,2026-07-02T04:57:46.562Z,medical,Trauma,Normal,COMPLETED,zone-sonari,Sonari Quarters,loc-sonari,22.786,86.164,hosp-subarnarekha-super-speciality-,sim-veh-sonari-amb-4,sim-drv-sonari-4,2.64,2.4,4.8,1,MONSOON_ROAD_TRAUMA,SIM_SEED,True
